Round,Date,Team 1,Team 2,FT,HT
-,-,Bristol City,Mansfield Town,3-1,-
-,-,Bury,Mansfield Town,1-0,-
-,-,Chester,Mansfield Town,1-3,-
-,-,Colchester United,Mansfield Town,2-0,-
-,-,Crewe Alexandra,Mansfield Town,1-2,-
-,-,Darlington,Mansfield Town,0-0,-
-,-,Halifax Town,Mansfield Town,0-0,-
-,-,Hartlepool United,Mansfield Town,0-4,-
-,-,Hereford United,Mansfield Town,0-2,-
-,-,Hull City,Mansfield Town,2-2,-
-,-,Northampton Town,Mansfield Town,1-2,-
-,-,Peterborough United,Mansfield Town,3-2,-
-,-,Port Vale,Mansfield Town,4-1,-
-,-,Rochdale,Mansfield Town,2-2,-
-,-,Scunthorpe United,Mansfield Town,2-2,-
-,-,Stockport County,Mansfield Town,1-1,-
-,-,Swindon Town,Mansfield Town,4-0,-
-,-,Torquay United,Mansfield Town,3-1,-
-,-,Tranmere Rovers,Mansfield Town,3-0,-
-,-,Wimbledon,Mansfield Town,1-1,-
-,-,York City,Mansfield Town,6-1,-
-,-,Aldershot,Northampton Town,3-0,-
-,-,Blackpool,Northampton Town,0-0,-
-,-,Bristol City,Northampton Town,1-3,-
-,-,Bury,Northampton Town,1-1,-
-,-,Chester,Northampton Town,2-1,-
-,-,Colchester United,Northampton Town,3-1,-
-,-,Crewe Alexandra,Northampton Town,1-0,-
-,-,Darlington,Northampton Town,2-0,-
-,-,Halifax Town,Northampton Town,2-0,-
-,-,Hartlepool United,Northampton Town,2-1,-
-,-,Hereford United,Northampton Town,1-1,-
-,-,Hull City,Northampton Town,4-0,-
-,-,Mansfield Town,Northampton Town,2-0,-
-,-,Peterborough United,Northampton Town,2-0,-
-,-,Port Vale,Northampton Town,1-2,-
-,-,Rochdale,Northampton Town,2-0,-
-,-,Scunthorpe United,Northampton Town,5-1,-
-,-,Stockport County,Northampton Town,0-1,-
-,-,Swindon Town,Northampton Town,1-5,-
-,-,Torquay United,Northampton Town,3-1,-
-,-,Tranmere Rovers,Northampton Town,2-1,-
-,-,Wimbledon,Northampton Town,1-1,-
-,-,York City,Northampton Town,5-2,-
-,-,Aldershot,Peterborough United,2-0,-
-,-,Blackpool,Peterborough United,0-3,-
-,-,Bristol City,Peterborough United,1-0,-
-,-,Bury,Peterborough United,1-0,-
-,-,Chester,Peterborough United,1-1,-
-,-,Colchester United,Peterborough United,1-0,-
-,-,Crewe Alexandra,Peterborough United,0-3,-
-,-,Darlington,Peterborough United,4-3,-
-,-,Halifax Town,Peterborough United,1-2,-
-,-,Hartlepool United,Peterborough United,0-0,-
-,-,Hereford United,Peterborough United,0-1,-
-,-,Hull City,Peterborough United,4-1,-
-,-,Mansfield Town,Peterborough United,0-0,-
-,-,Northampton Town,Peterborough United,0-0,-
-,-,Port Vale,Peterborough United,2-1,-
-,-,Rochdale,Peterborough United,1-1,-
-,-,Scunthorpe United,Peterborough United,3-0,-
-,-,Stockport County,Peterborough United,1-1,-
-,-,Swindon Town,Peterborough United,1-0,-
-,-,Torquay United,Peterborough United,2-1,-
-,-,Tranmere Rovers,Peterborough United,1-0,-
-,-,Wimbledon,Peterborough United,2-1,-
-,-,York City,Peterborough United,1-1,-
-,-,Aldershot,Port Vale,1-4,-
-,-,Blackpool,Port Vale,2-0,-
-,-,Bristol City,Port Vale,1-3,-
-,-,Bury,Port Vale,0-1,-
-,-,Chester,Port Vale,1-0,-
-,-,Colchester United,Port Vale,1-2,-
-,-,Crewe Alexandra,Port Vale,1-2,-
-,-,Darlington,Port Vale,0-0,-
-,-,Halifax Town,Port Vale,0-2,-
-,-,Hartlepool United,Port Vale,2-2,-
