Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 9 Apr 1938 (14),Doncaster Rovers (20),3-0,?,New Brighton (8)
?,(Sat) 23 Apr 1938 (16),Doncaster Rovers (21),1-0,?,Oldham Athletic (8)
?,(Sat) 11 Sep 1937 (36),Doncaster Rovers (22),3-2,?,Port Vale FC (8)
?,(Sat) 18 Sep 1937 (37),Doncaster Rovers (23),5-0,?,Rochdale AFC (8)
?,(Sat) 5 Feb 1938 (5),Doncaster Rovers (24),0-1,?,Rotherham United (8)
?,(Sat) 15 Jan 1938 (2),Doncaster Rovers (25),3-0,?,Southport FC (8)
?,(Sat) 7 May 1938 (18),Doncaster Rovers (26),1-1,?,Tranmere Rovers (8)
?,(Sat) 12 Mar 1938 (10),Doncaster Rovers (27),2-0,?,Wrexham AFC (8)
?,(Mon) 2 May 1938 (18),Doncaster Rovers (28),2-1,?,York City (8)
?,(Sat) 19 Mar 1938 (11),Gateshead FC (9),1-0,?,Accrington Stanley (29)
?,(Sat) 15 Jan 1938 (2),Gateshead FC (10),6-0,?,Barrow AFC (29)
?,(Sat) 30 Apr 1938 (17),Gateshead FC (11),3-0,?,Bradford City (29)
?,(Sat) 30 Oct 1937 (43),Gateshead FC (12),2-1,?,Carlisle United (29)
?,(Sat) 13 Nov 1937 (45),Gateshead FC (13),3-1,?,Chester FC (29)
?,(Sat) 28 Aug 1937 (34),Gateshead FC (14),2-0,?,Crewe Alexandra (29)
?,(Sat) 7 May 1938 (18),Gateshead FC (15),5-2,?,Darlington FC (29)
?,(Sat) 16 Apr 1938 (15),Gateshead FC (16),2-3,?,Doncaster Rovers (29)
?,(Sat) 5 Mar 1938 (9),Gateshead FC (17),4-1,?,Halifax Town (9)
?,(Sat) 29 Jan 1938 (4),Gateshead FC (18),2-1,?,Hartlepool United (9)
?,(Sat) 12 Feb 1938 (6),Gateshead FC (19),3-2,?,Hull City (9)
?,(Sat) 25 Sep 1937 (38),Gateshead FC (20),1-1,?,Lincoln City (9)
?,(Sat) 9 Oct 1937 (40),Gateshead FC (21),3-1,?,New Brighton (9)
?,(Mon) 18 Apr 1938 (16),Gateshead FC (22),0-0,?,Oldham Athletic (9)
?,(Wed) 8 Sep 1937 (36),Gateshead FC (23),2-1,?,Port Vale FC (9)
?,(Sat) 8 Jan 1938 (1),Gateshead FC (24),3-1,?,Rochdale AFC (9)
?,(Sat) 2 Apr 1938 (13),Gateshead FC (25),0-0,?,Rotherham United (9)
?,(Mon) 2 May 1938 (18),Gateshead FC (26),5-0,?,Southport FC (9)
?,(Sat) 16 Oct 1937 (41),Gateshead FC (27),2-1,?,Tranmere Rovers (9)
?,(Sat) 11 Sep 1937 (36),Gateshead FC (28),2-2,?,Wrexham AFC (9)
?,(Sat) 25 Dec 1937 (51),Gateshead FC (29),2-2,?,York City (9)
?,(Sat) 4 Sep 1937 (35),Halifax Town (10),1-2,?,Accrington Stanley (30)
?,(Sat) 9 Apr 1938 (14),Halifax Town (11),1-1,?,Barrow AFC (30)
?,(Sat) 9 Oct 1937 (40),Halifax Town (12),0-2,?,Bradford City (30)
?,(Sat) 22 Jan 1938 (3),Halifax Town (13),0-0,?,Carlisle United (30)
