Date,Team 1,Team 2,FT
-,Sunderland,Manchester City,3-2
-,Tottenham Hotspur,Manchester City,2-2
-,West Bromwich Albion,Manchester City,2-1
-,Wolverhampton Wanderers,Manchester City,2-2
-,Arsenal,Manchester United,2-3
-,Aston Villa,Manchester United,2-1
-,Blackpool,Manchester United,2-4
-,Bolton Wanderers,Manchester United,1-1
-,Burnley,Manchester United,2-4
-,Cardiff City,Manchester United,3-0
-,Charlton Athletic,Manchester United,1-1
-,Chelsea,Manchester United,5-6
-,Everton,Manchester United,4-2
-,Huddersfield Town,Manchester United,1-3
-,Leicester City,Manchester United,1-0
-,Manchester City,Manchester United,3-2
-,Newcastle United,Manchester United,2-0
-,Portsmouth,Manchester United,0-0
-,Preston North End,Manchester United,0-2
-,Sheffield United,Manchester United,3-0
-,Sheffield Wednesday,Manchester United,2-4
-,Sunderland,Manchester United,4-3
-,Tottenham Hotspur,Manchester United,0-2
-,West Bromwich Albion,Manchester United,2-0
-,Wolverhampton Wanderers,Manchester United,4-2
-,Arsenal,Newcastle United,1-3
-,Aston Villa,Newcastle United,1-2
-,Blackpool,Newcastle United,2-0
-,Bolton Wanderers,Newcastle United,2-1
-,Burnley,Newcastle United,0-1
-,Cardiff City,Newcastle United,4-2
-,Charlton Athletic,Newcastle United,1-1
-,Chelsea,Newcastle United,4-3
-,Everton,Newcastle United,1-2
-,Huddersfield Town,Newcastle United,2-0
-,Leicester City,Newcastle United,3-2
-,Manchester City,Newcastle United,3-1
-,Manchester United,Newcastle United,2-2
-,Portsmouth,Newcastle United,3-1
-,Preston North End,Newcastle United,3-3
-,Sheffield United,Newcastle United,6-2
-,Sheffield Wednesday,Newcastle United,0-3
-,Sunderland,Newcastle United,4-2
-,Tottenham Hotspur,Newcastle United,2-1
-,West Bromwich Albion,Newcastle United,4-2
-,Wolverhampton Wanderers,Newcastle United,2-2
-,Arsenal,Portsmouth,0-1
-,Aston Villa,Portsmouth,1-0
-,Blackpool,Portsmouth,2-2
-,Bolton Wanderers,Portsmouth,3-1
-,Burnley,Portsmouth,1-0
-,Cardiff City,Portsmouth,1-1
-,Charlton Athletic,Portsmouth,2-2
-,Chelsea,Portsmouth,4-1
-,Everton,Portsmouth,2-3
-,Huddersfield Town,Portsmouth,2-1
-,Leicester City,Portsmouth,4-0
-,Manchester City,Portsmouth,1-2
-,Manchester United,Portsmouth,1-3
-,Newcastle United,Portsmouth,2-1
-,Preston North End,Portsmouth,1-1
-,Sheffield United,Portsmouth,5-2
-,Sheffield Wednesday,Portsmouth,1-3
-,Sunderland,Portsmouth,2-2
-,Tottenham Hotspur,Portsmouth,1-1
-,West Bromwich Albion,Portsmouth,3-1
-,Wolverhampton Wanderers,Portsmouth,2-2
-,Arsenal,Preston North End,2-0
-,Aston Villa,Preston North End,1-3
-,Blackpool,Preston North End,1-2
-,Bolton Wanderers,Preston North End,2-1
